#{"t_start": 1764802352.1707535, "env_id": "None"}
r,l,t
-44.0,2,6.294894
-46.0,1,6.301874
-47.0,1,6.307968
102.0,46,6.984755
-46.0,1,6.99217
-47.0,1,6.994879
-47.0,1,6.997632
478.0,148,7.542728
99.0,50,7.736601
-41.0,4,7.747538
-45.0,2,7.756796
-45.0,2,7.76207
-45.0,2,7.771427
-44.0,3,7.77892
-47.0,1,7.78163
-47.0,1,7.793777
205.0,83,8.147448
-41.0,3,8.160043
-47.0,1,8.16285
3.0,22,8.245452
-47.0,1,8.252354
-46.0,1,8.255016
-36.0,4,8.270236
-44.0,2,8.275806
-47.0,1,8.278669
447.0,181,8.979657
-42.0,2,8.989331
5.0,15,9.045458
-39.0,4,9.062268
159.0,78,9.350657
-42.0,2,9.364569
27.0,18,9.424305
-40.0,3,9.437044
-47.0,1,9.439919
-31.0,11,9.482412
-46.0,2,9.492198
-1.0,24,9.587201
-47.0,1,9.59455
-45.0,2,9.600265
-45.0,2,9.605757
212.0,62,9.832839
74.0,34,9.982451
-46.0,1,9.985296
-40.0,4,9.999861
-47.0,1,10.002563
-47.0,1,10.005591
-44.0,2,10.011019
-47.0,1,10.018249
-44.0,2,10.024126
339.0,128,10.513821
23.0,16,10.569309
33.0,22,10.653617
113.0,45,10.821443
-47.0,1,10.824138
-47.0,1,10.830983
-46.0,1,10.833807
-46.0,2,10.839398
-46.0,1,10.842772
-47.0,1,10.849945
-47.0,1,10.852897
-47.0,1,10.855709
-10.0,15,10.915758
34.0,26,11.024845
-46.0,1,11.027523
-46.0,1,11.034501
167.0,70,11.302885
-41.0,4,11.320512
38.0,19,11.38902
-30.0,7,11.425637
-47.0,1,11.428638
-47.0,1,11.432174
-15.0,15,11.486764
-47.0,1,11.489651
49.0,23,11.584044
-47.0,1,11.587396
-42.0,3,11.599749
-47.0,1,11.602786
-46.0,1,11.60565
-39.0,5,11.630715
-47.0,1,11.633637
-46.0,1,11.636574
-41.0,2,11.646891
-47.0,1,11.649865
-35.0,5,11.668142
-41.0,4,11.683211
28.0,21,11.767319
-46.0,1,11.770423
-47.0,1,11.773409
-44.0,2,11.784145
-1.0,12,11.832185
-47.0,1,11.835871
-47.0,1,11.844484
-46.0,1,11.847498
-47.0,1,11.850445
18.0,21,11.92634
-34.0,4,11.947496
-46.0,1,11.950605
-47.0,1,11.953567
-45.0,2,11.96379
-47.0,1,11.967119
-46.0,2,11.974701
-47.0,1,11.982759
-45.0,2,11.989557
-37.0,5,12.011762
-42.0,4,12.042226
-47.0,1,12.045656
3.0,14,12.095758
-42.0,2,12.101776
-47.0,1,12.105223
-22.0,13,12.161384
-46.0,1,12.164402
-46.0,2,12.174012
-46.0,2,12.179519
-47.0,1,12.182487
-46.0,1,12.185721
-47.0,1,12.192629
-47.0,1,12.196213
-44.0,2,12.202281
242.0,82,12.515663
-46.0,2,12.52238
-47.0,1,12.525403
7.0,17,12.596157
-46.0,1,12.599022
-40.0,7,12.626681
-46.0,1,12.629408
-46.0,1,12.636612
-47.0,1,12.639423
-47.0,1,12.642415
-46.0,2,12.648138
-46.0,1,12.661291
-46.0,1,12.66429
31.0,19,12.731141
-47.0,1,12.733766
-47.0,1,12.736513
-46.0,2,12.741618
-46.0,1,12.748615
-47.0,1,12.751653
-45.0,3,12.766436
-47.0,1,12.773718
-44.0,4,12.784354
47.0,29,12.905313
-46.0,1,12.908407
-44.0,2,12.917733
-44.0,2,12.92354
-42.0,5,12.941385
-46.0,2,12.951693
-46.0,1,12.9552
-47.0,1,12.958347
-44.0,3,12.978014
90.0,45,13.16726
-47.0,1,13.171131
134.0,48,13.354572
74.0,35,13.492687
-36.0,10,13.529654
-38.0,5,13.546947
-38.0,4,13.561308
-39.0,4,13.575591
-21.0,7,13.604403
-47.0,1,13.611273
-39.0,5,13.628157
-47.0,1,13.630808
-46.0,1,13.633445
-41.0,3,13.645517
-46.0,1,13.648533
20.0,15,13.707103
-41.0,5,13.725005
318.0,85,14.053326
-47.0,1,14.056196
-47.0,1,14.059315
49.0,24,14.162288
-47.0,1,14.165203
-46.0,1,14.168069
164.0,55,14.381565
-35.0,4,14.39688
-46.0,1,14.400122
-45.0,3,14.412231
-47.0,1,14.422291
-47.0,1,14.426662
-47.0,1,14.435023
-23.0,11,14.473911
-47.0,1,14.476675
147.0,58,14.697543
-47.0,1,14.700243
26.0,21,14.78138
-24.0,7,14.804088
-41.0,3,14.816221
-47.0,1,14.819079
-46.0,1,14.821986
-47.0,1,14.828961
-41.0,3,14.842808
-42.0,5,14.859809
-47.0,1,14.862581
-46.0,1,14.86978
-47.0,1,14.872348
-38.0,3,14.880019
-38.0,4,14.89412
224.0,109,15.310201
-28.0,5,15.327769
-42.0,2,15.333189
10.0,14,15.407663
96.0,38,15.559794
-22.0,9,15.592494
-47.0,1,15.59524
187.0,61,15.816213
-10.0,11,15.854458
-47.0,1,15.857241
-35.0,4,15.879707
-21.0,7,15.90879
-47.0,1,15.91178
-2.0,12,15.959726
518.0,173,16.745763
-47.0,1,16.749147
25.0,32,16.917021
-47.0,1,16.927476
-43.0,2,16.935584
-44.0,3,16.952737
-37.0,3,16.96542
-43.0,2,16.979579
-47.0,1,16.983943
-47.0,1,16.988366
-44.0,3,17.005818
-47.0,1,17.009947
