#{"t_start": 1764794823.5628285, "env_id": "None"}
r,l,t
0.0,11,5.753743
-42.0,2,5.760395
-33.0,4,5.771171
-46.0,1,5.774162
-47.0,1,5.778581
-47.0,1,5.782332
-46.0,2,5.788797
-47.0,1,5.792982
-47.0,1,5.795679
-46.0,1,5.800326
-46.0,1,5.80234
-47.0,1,5.804434
-46.0,2,5.815903
-42.0,3,5.825065
-47.0,1,5.829244
-46.0,1,5.831618
-46.0,1,5.835354
-47.0,1,5.837702
-42.0,2,5.843282
-47.0,1,5.844995
-47.0,1,5.848903
-44.0,3,5.854758
-23.0,7,5.873228
-47.0,1,5.878133
954.0,400,7.781595
-47.0,1,7.78351
-47.0,1,7.790263
-47.0,1,7.792042
-47.0,1,7.793713
-40.0,5,7.809365
-13.0,13,7.852951
29.0,22,7.912755
-41.0,2,7.927472
-43.0,2,7.935505
-47.0,1,7.937737
-47.0,1,7.942118
-47.0,1,7.943926
-46.0,2,7.949646
-47.0,1,7.953974
-47.0,1,7.955622
-47.0,1,7.957213
-47.0,1,7.960622
-34.0,6,7.975167
-46.0,1,7.977031
-47.0,1,7.979015
-46.0,2,7.987552
-46.0,1,7.989933
-41.0,7,8.009493
-35.0,4,8.018581
-46.0,1,8.023269
-44.0,2,8.035798
-47.0,1,8.037868
-44.0,2,8.041656
-47.0,1,8.048067
-47.0,1,8.052018
-35.0,8,8.077141
-46.0,2,8.081008
-47.0,1,8.085069
-45.0,2,8.090057
-47.0,1,8.092029
-47.0,1,8.096097
-47.0,1,8.09807
191.0,96,8.36316
-47.0,1,8.364921
-41.0,3,8.375609
-47.0,1,8.377529
-44.0,2,8.385729
-45.0,2,8.390959
-47.0,1,8.393318
117.0,37,8.504488
-46.0,2,8.507813
-47.0,1,8.50954
-40.0,6,8.523163
-47.0,1,8.526741
-47.0,1,8.528568
-47.0,1,8.532968
-46.0,2,8.535821
-42.0,2,8.54772
123.0,59,8.689331
-44.0,2,8.694565
-20.0,8,8.719471
-44.0,2,8.723694
-47.0,1,8.730374
-44.0,3,8.735879
-47.0,1,8.743028
-45.0,2,8.749662
526.0,221,9.320427
-6.0,11,9.364904
22.0,22,9.431479
-42.0,4,9.44255
-45.0,2,9.44565
-47.0,1,9.448581
82.0,39,9.570041
-46.0,2,9.576293
-47.0,1,9.58026
-46.0,2,9.58346
-47.0,1,9.587907
-47.0,1,9.590756
-47.0,1,9.593657
-26.0,16,9.663518
-47.0,1,9.667265
350.0,158,10.145422
-34.0,8,10.161891
-47.0,1,10.163573
