#{"t_start": 1764790684.333374, "env_id": "None"}
r,l,t
-47.0,1,7.033246
-47.0,1,7.038073
-25.0,6,7.059814
-47.0,1,7.063941
-46.0,1,7.067686
-47.0,1,7.073155
-46.0,2,7.083749
-46.0,2,7.093935
-16.0,22,7.174868
-46.0,1,7.179921
-40.0,4,7.199436
-22.0,6,7.22756
-32.0,12,7.262255
-47.0,1,7.265093
-42.0,2,7.270568
-45.0,2,7.276694
-37.0,6,7.293738
-47.0,1,7.29689
-46.0,1,7.299725
-47.0,1,7.302449
539.0,192,7.864085
-47.0,1,7.866717
-46.0,1,7.869678
107.0,41,7.978549
-31.0,7,7.996984
-47.0,1,7.999913
-47.0,1,8.002743
279.0,85,8.262493
55.0,23,8.319701
-47.0,1,8.322591
-47.0,1,8.326336
-47.0,1,8.329197
-47.0,1,8.332072
-46.0,1,8.334914
-5.0,12,8.373
-22.0,6,8.388082
-34.0,10,8.41334
-41.0,3,8.421024
-47.0,1,8.423666
-47.0,1,8.426404
29.0,33,8.519375
-47.0,1,8.52216
-47.0,1,8.525259
-25.0,7,8.544221
-47.0,1,8.546806
-8.0,17,8.596756
-41.0,2,8.601883
-46.0,1,8.604374
-47.0,1,8.606912
-46.0,1,8.609519
-47.0,1,8.612218
-47.0,1,8.614744
-47.0,1,8.617595
191.0,83,8.84564
-46.0,1,8.848382
-47.0,1,8.851363
-37.0,6,8.872373
-44.0,4,8.882557
-41.0,4,8.893083
-46.0,1,8.896344
-47.0,1,8.899124
-47.0,1,8.90196
144.0,79,9.113935
46.0,62,9.301056
-44.0,2,9.308771
-45.0,3,9.31708
-47.0,1,9.320103
-47.0,1,9.322926
-43.0,2,9.330361
-47.0,1,9.333977
-47.0,1,9.336972
-47.0,1,9.339943
819.0,247,9.991411
-47.0,1,10.000684
-47.0,1,10.004559
-47.0,1,10.00834
-44.0,3,10.017773
-42.0,2,10.024317
-46.0,1,10.027228
-47.0,1,10.03016
-47.0,1,10.033037
-46.0,1,10.036193
-47.0,1,10.039855
-44.0,3,10.049459
-47.0,1,10.053009
-47.0,1,10.056089
-45.0,3,10.064655
-46.0,2,10.07027
-47.0,1,10.074346
-47.0,1,10.077584
-35.0,4,10.089505
307.0,86,10.365194
-47.0,1,10.367977
-47.0,1,10.37084
